data_pubblicazione,data_validita_inizio,data_validita_fine,zona_codice,avviso_criticita,avviso_idrogeologico,avviso_temporali,avviso_idraulico
2025-05-04T15:21:59+02:00,2025-05-05T00:00:00+02:00,2025-05-05T23:59:59+02:00,Abru-A,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2025-05-04T15:21:59+02:00,2025-05-05T00:00:00+02:00,2025-05-05T23:59:59+02:00,Abru-B,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2025-05-04T15:21:59+02:00,2025-05-05T00:00:00+02:00,2025-05-05T23:59:59+02:00,Abru-C,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2025-05-04T15:21:59+02:00,2025-05-05T00:00:00+02:00,2025-05-05T23:59:59+02:00,Abru-D1,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2025-05-04T15:21:59+02:00,2025-05-05T00:00:00+02:00,2025-05-05T23:59:59+02:00,Abru-D2,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2025-05-04T15:21:59+02:00,2025-05-05T00:00:00+02:00,2025-05-05T23:59:59+02:00,Abru-E,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2025-05-04T15:21:59+02:00,2025-05-05T00:00:00+02:00,2025-05-05T23:59:59+02:00,Basi-A1,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2025-05-04T15:21:59+02:00,2025-05-05T00:00:00+02:00,2025-05-05T23:59:59+02:00,Basi-A2,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2025-05-04T15:21:59+02:00,2025-05-05T00:00:00+02:00,2025-05-05T23:59:59+02:00,Basi-B,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
2025-05-04T15:21:59+02:00,2025-05-05T00:00:00+02:00,2025-05-05T23:59:59+02:00,Basi-C,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA,Assenza di fenomeni significativi prevedibili / NESSUNA ALLERTA
